Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
1.184731094,1.188102942
1.191943128,1.195335502
1.19606429,1.199468393
1.195858232,1.199261748
1.205336905,1.208767398
1.189161343,1.1925458
1.200185452,1.203601284
1.202349062,1.205771052
1.187512879,1.190892643
1.192973419,1.196368724
1.191943128,1.195335502
1.202452091,1.205874375
1.21677313,1.220236172
1.211209561,1.214656769
1.219348856,1.222819229
1.230269936,1.233771391
1.232227488,1.235734515
1.245518236,1.249063089
1.234082011,1.237594316
1.245518236,1.249063089
1.243045539,1.246583354
1.236451679,1.239970728
1.23964558,1.243173719
1.234700185,1.238214249
1.23748197,1.241003951
1.221512467,1.224988997
1.223573048,1.227055443
1.23748197,1.241003951
1.236039563,1.239557439
1.241397074,1.244930198
1.241912219,1.245446809
1.256233258,1.259808607
1.266021018,1.269624224
1.272923965,1.276546817
1.279826911,1.28346941
1.295590356,1.299277719
1.295899444,1.299587686
1.275911807,1.279543163
1.291057078,1.294731539
1.297856996,1.301550809
1.282711725,1.286362434
1.248918195,1.252472725
1.236142592,1.239660761
1.168967649,1.172294632
1.140325572,1.143571037
1.19173707,1.195128857
1.18740985,1.190789321
1.234391098,1.237904283
1.205439934,1.208870721
1.183288687,1.18665643
1.099526066,1.102655413
1.152173913,1.1554531
1.088398928,1.091496606
0.995981867,0.998816518
1.077477849,1.080544444
0.892952813,0.895494234
0.948691531,0.951391589
0.869977334,0.872453365
0.86163198,0.86408426
0.815577993,0.817899199
0.775808778,0.778016797
0.847929116,0.850342396
0.879559036,0.882062337
0.939831032,0.942505873
0.950649083,0.953354713
0.969297342,0.972056046
0.943540078,0.946225475
0.883165053,0.885678617
0.888625592,0.891154698
0.881825675,0.884335427
0.94446734,0.947155376
0.949464249,0.952166507
1.01638162,1.01927433
1.069956728,1.073001918
1.021223985,1.024130477
1.054605399,1.057606897
1.013290748,1.016174661
1.003967649,1.006825028
1.036369256,1.039318853
0.99453946,0.997370006
0.979085102,0.981871663
0.996393983,0.999229807
0.985369874,0.988174323
0.988975891,0.991790602
1.019781578,1.022683965
1.023387595,1.026300245
1.032145065,1.035082639
1.023181537,1.026093601
0.992890995,0.995716849
0.98907892,0.991893925
0.995466722,0.998299906
0.977745724,0.980528474
0.987018339,0.989827479
1.003812075,1.006669011
0.990521327,0.993340437
0.947146095,0.949841755
0.931073563,0.933723479
0.93251597,0.935169991
0.928229961,0.930871784
0.975788172,0.97856535
0.961982279,0.964720164
0.969812487,0.972572658
0.964756851,0.967502633
0.979394189,0.98218163
1.013599835,1.016484628
1.033484443,1.036425829
1.042344941,1.045311545
1.032454152,1.035392606
1.055944776,1.058950087
1.061405316,1.064426168
1.089738306,1.092839796
1.074799093,1.077858065
1.117762209,1.120943457
1.140943746,1.144190971
1.126416649,1.129622529
1.099423037,1.102552091
1.034514733,1.037459052
1.068102205,1.071142116
1.073768803,1.076824842
1.093447352,1.096559398
1.081083866,1.084160724
1.06861735,1.071658728
1.048217597,1.051200916
1.049866062,1.052854072
1.045023697,1.047997925
1.017824026,1.020720842
1.0304966,1.033429483
1.012981661,1.015864695
1.025448176,1.028366691
1.039357099,1.042315199
1.070677931,1.073725174
1.066659798,1.069695604
1.063671955,1.066699258
1.043684319,1.046654735
1.04141768,1.044381645
1.037605605,1.04055872
1.038429837,1.041385299
1.025757264,1.028676658
1.034926849,1.037872341
1.041314651,1.044278323
1.027405728,1.030329814
1.041726767,1.044691612
1.027405728,1.030329814
1.028539048,1.031466359
1.046363074,1.049341115
1.041005564,1.043968356
1.035854111,1.038802242
1.045538842,1.048514536
1.069338553,1.024647089
1.089017103,1.005790976
1.083247476,1.01111967
1.085617144,1.008907786
1.070059757,1.023365893
1.085411086,1.008684445
1.077889965,1.015673905
1.080053575,1.013635179
1.093035236,1.001451831
1.093550381,1.000979849
1.073871832,1.018992583
1.085514115,1.007945268
1.071605193,1.020860284
1.074490006,1.018112078
1.084895941,1.008252138
1.081805069,1.011124651
1.059447764,1.032021227
1.071708222,1.020078163
1.074902122,1.01703813
1.082114156,1.010214334
1.084689883,1.007809749
1.073974861,1.017765316
1.089223161,1.003315079
1.095610962,0.99743109
1.088089841,1.004278228
1.085926231,1.006275183
1.107356274,0.986417001
1.094168556,0.998164431
1.091644344,1.000467165
1.077168762,1.013733706
1.088501958,1.003067928
1.072017309,1.018258734
1.066968885,1.023053994
1.094374614,1.049331742
1.105604781,1.060099692
1.111580466,1.065829427
1.08932619,1.087167749
1.068411292,1.108041205
1.035648053,1.14201971
1.049556975,1.157357222
1.012466516,1.116457192
1.0152483,1.119524694
1.034411704,1.140656376
1.055120544,1.163492226
1.047393365,1.154971386
1.050999382,1.158947778
1.071502164,1.181556406
1.091283742,1.203369755
1.09911395,1.212004205
1.091283742,1.203369755
1.092211004,1.204392255
1.110756233,1.22484227
1.106119926,1.219729766
1.11003503,1.224046992
1.090768597,1.202801699
1.077889965,1.1886003
1.081289924,1.192349469
1.074386977,1.184737519
1.056975067,1.165537227
1.063774985,1.173035566
1.061405316,1.170422509
1.060581084,1.169513619
1.067381001,1.177011958
1.053678137,1.161901669
1.037399547,1.143951101
1.012157428,1.116116359
1.022460334,1.127477478
1.01638162,1.120774417
1.042963116,1.150086105
1.063053781,1.172240288
1.062332578,1.171445009
1.063774985,1.173035566
1.05769627,1.166332506
1.097568514,1.210300037
1.116937977,1.231658942
1.119719761,1.234726444
1.103853287,1.21723032
1.131465073,1.24767812
1.142077066,1.235976167
1.143416443,1.234526669
1.117041006,1.263003766
1.120337935,1.259276029
1.115907686,1.264255694
1.112095611,1.268574543
1.113950134,1.266459077
1.114568308,1.267161885
1.109107768,1.260953752
1.096641253,1.246780468
1.110550175,1.262593636
1.101689676,1.252520062
1.111889553,1.264116386
1.130125695,1.284849206
0.560375026,0.63709498
0.556872038,0.633112404
0.551720585,0.627255675
0.547393365,0.622336023
0.546569132,0.621398946
0.539563157,0.613433795
0.550999382,0.626435733
0.550690295,0.626084329
0.556872038,0.633112404
0.54471461,0.619290524
0.540593447,0.61460514
0.544920668,0.619524793
0.540181331,0.614136602
0.54471461,0.619290524
0.549866062,0.625147253
0.544920668,0.619524793
0.548114568,0.623155965
0.555120544,0.631121116
0.536266227,0.609685488
0.534411704,0.607577066
0.53482382,0.608045604
0.533381414,0.60640572
0.538738924,0.612496718
0.5304966,0.603125952
0.531835978,0.604648701
0.540490418,0.614488006
0.54244797,0.616713563
0.55007212,0.625381522
0.545332784,0.619993331
0.557284154,0.633580942
0.554605399,0.630535443
0.556356893,0.632526731
0.559447764,0.636040768
0.564702246,0.642014632
0.555120544,0.631121116
0.558520503,0.634986557
0.552647847,0.628309886
0.564187101,0.641428959
0.56645374,0.64400592
0.565011333,0.642366036
0.568720379,0.646582881
0.571296106,0.649511245
0.572635483,0.651033995
0.575623326,0.654430897
0.579847517,0.659233415
0.581186895,0.660756165
0.579023285,0.658296339
0.574283948,0.652908148
0.574283948,0.652908148
0.573665774,0.65220534
0.574180919,0.652791013
0.57737482,0.656422185
0.579641459,0.658999146
0.58170204,0.661341838
0.573665774,0.65220534
0.563878014,0.641077555
0.563981043,0.64119469
0.560787142,0.637563518
0.555120544,0.631121116
0.550896353,0.626318598
0.556872038,0.633112404
0.560684113,0.637446383
0.565835566,0.643303112
0.571605193,0.649862649
0.577889965,0.657007858
0.588089841,0.668604182
0.596126108,0.677740679
0.596023079,0.677623544
0.594065526,0.675397987
0.590253451,0.671064008
0.582320214,0.662044645
0.588501958,0.66907272
0.590150422,0.670946873
0.587883783,0.668369912
0.588708016,0.669306989
0.60241088,0.684885888
0.601071502,0.683363139
0.598598805,0.680551909
0.595610962,0.677155006
0.605604781,0.665792952
0.607562333,0.663640848
0.609519885,0.661502612
0.61106532,0.659825374
0.608283536,0.662829132
0.607974449,0.663165935
0.611889553,0.658895421
0.616422831,0.654013892
0.610653204,0.660135366
0.622810633,0.646992803
0.623737894,0.646029538
0.62631362,0.643361758
0.63393777,0.63553008
0.636513497,0.632947884
0.633834741,0.635611634
0.637337729,0.632098826
0.637852875,0.631587915
0.638677107,0.630771778
0.635998352,0.633417377
0.640943746,0.628492051
0.645270966,0.624248896
0.641871008,0.627538089
0.6372347,0.632070868
0.627652998,0.641574925
0.630949928,0.638204866
0.638264991,0.630805692
0.640119514,0.628972842
0.63290748,0.63605929
0.618792499,0.650244561
0.625901504,0.642774219
0.632701422,0.635790993
0.63290748,0.635583929
0.634452916,0.634031958
0.631980218,0.636503014
0.640222543,0.628201703
0.639089223,0.629313744
0.646507315,0.622009119
0.648464867,0.620125744
0.649796002,0.618852782
0.647949722,0.620611143
0.652895116,0.615874407
0.663713167,0.605669765
0.673397898,0.596831988
